hh,sex,age,lga,edu,mrt_status,fmly_size,m_income,cfuel,ipollut,rbiomass,dailycook,avl_lpg,aff_lpg,Electricity,hrs_elect,aff_elct,exp_elct,source_light,exp_lpg,exp_nonlpg,aff_solide,hh_appl,edu_appl,c_appl,occupation,hh_exp,housing,wall,floor,rooms,bank,bank_acct,b_facility,road,raod_dist,schl,type_sch,dst_sch,sch_days,sch_drpout,chld_labor,h_facility,dist_hfacility,illiness,waterborne,resp_disease,eye_disease,child_death,maternalcare,square_meal,health_ins,rooms_per_person,people_per_room
94.0,1,3.0,1,5,1,7,4,4,1,2.0,3.0,1,5,1.0,12.0,2.0,2000.0,1.0,0.0,4500.0,2,1,1,1,1,60000.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,1,1,2.0,0.5,5,2,0.0,1.0,0.5,5.0,5,0.0,0,1,2.0,3.0,1.0,0.375,1.75
95.0,1,5.0,1,3,1,10,3,3,2,2.0,2.0,1,5,1.0,6.0,2.0,2000.0,1.0,0.0,4500.0,2,1,1,1,2,60000.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1,1,2.0,0.5,4,2,0.0,1.0,0.5,6.0,6,0.0,4,2,2.0,3.0,2.0,0.18181818181818182,3.3333333333333335
96.0,1,2.0,1,3,1,5,2,4,2,2.0,2.0,1,5,1.0,6.0,2.0,2000.0,1.0,0.0,4500.0,2,1,1,1,6,60000.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1,1,2.0,0.5,5,2,0.0,1.0,0.5,4.0,4,0.0,1,1,2.0,3.0,2.0,0.3333333333333333,1.6666666666666667
97.0,1,5.0,1,4,1,8,2,4,2,2.0,1.0,1,5,1.0,8.0,2.0,2000.0,1.0,0.0,3000.0,2,1,1,1,6,60000.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1,2.0,0.5,5,1,0.0,1.0,0.5,6.0,6,1.0,2,2,2.0,2.0,2.0,0.2222222222222222,2.6666666666666665
98.0,1,4.0,1,6,4,5,7,6,1,2.0,3.0,1,3,1.0,8.0,2.0,2000.0,1.0,0.0,4500.0,3,1,1,1,3,60000.0,2.0,3.0,3.0,5.0,2.0,1.0,2.0,1.0,2,1,1.0,0.5,5,2,0.0,1.0,1.0,3.0,3,0.0,0,0,2.0,4.0,2.0,0.8333333333333334,0.8333333333333334
99.0,1,4.0,1,5,4,15,7,6,1,2.0,3.0,1,3,1.0,8.0,2.0,2000.0,5.0,0.0,4500.0,3,1,1,1,2,60000.0,2.0,3.0,3.0,7.0,2.0,1.0,2.0,1.0,2,1,1.0,1.0,5,2,0.0,1.0,0.5,8.0,6,0.0,0,0,2.0,4.0,2.0,0.4375,1.875
100.0,1,4.0,1,6,1,7,4,4,1,2.0,3.0,1,5,1.0,8.0,2.0,2000.0,1.0,0.0,4500.0,2,1,1,1,2,60000.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,1,1,2.0,0.5,5,2,0.0,1.0,1.0,3.0,3,1.0,0,0,2.0,3.0,1.0,0.5,1.4
101.0,1,4.0,1,5,4,4,2,6,1,2.0,2.0,1,2,1.0,8.0,2.0,2000.0,1.0,0.0,4500.0,2,1,1,1,1,60000.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,1,1,1.0,0.5,5,2,0.0,1.0,1.0,3.0,3,0.0,0,0,2.0,3.0,2.0,0.6,1.0
102.0,1,2.0,1,2,1,5,2,4,1,2.0,2.0,1,5,1.0,4.0,2.0,2000.0,1.0,0.0,4500.0,2,1,1,1,6,60000.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2,1,1.0,1.0,5,2,0.0,2.0,2.0,4.0,4,0.0,2,1,1.0,2.0,2.0,0.5,1.25
103.0,1,4.0,1,2,2,4,2,4,2,2.0,1.0,1,5,1.0,8.0,2.0,2000.0,1.0,0.0,4500.0,2,2,1,1,2,60000.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1,1,2.0,1.0,5,2,0.0,1.0,0.4,2.0,1,2.0,0,0,2.0,3.0,2.0,0.4,1.3333333333333333
